time,open,close,high,low,volume
1534193760000,0.031532,0.031532,0.031532,0.031532,756.38
1534193940000,0.03174,0.03174,0.03174,0.03174,745.837
1534194000000,0.03174,0.03174,0.03174,0.03174,2787.13
1534194540000,0.03174,0.0315,0.03174,0.0315,2220.0
1534195920000,0.0315,0.0315,0.0315,0.0315,260.28196030000004
1534202100000,0.0305,0.0298,0.0305,0.0298,8690.306999999999
1534202160000,0.0298,0.0298,0.0298,0.0298,3584.67132682
1534204200000,0.03,0.03,0.03,0.03,17192.858194
1534205100000,0.029410000000000002,0.029410000000000002,0.029410000000000002,0.029410000000000002,14315.90493845
1534205160000,0.029,0.029,0.029,0.029,260.0
1534205280000,0.028,0.027001,0.028,0.027001,18850.11494567
1534206000000,0.027000000000000003,0.026684,0.027000000000000003,0.026684,1260.0
1534206060000,0.026000000000000002,0.026000000000000002,0.026000000000000002,0.026000000000000002,260.0
1534208280000,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,924.71161678
1534211460000,0.025002,0.025,0.025002,0.025,632.3136
1534215120000,0.035,0.03574,0.03574,0.035,14412.72446141
1534215600000,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.022000000000000002,2217.78
1534217040000,0.022222,0.022222,0.022222,0.022222,499.0
1534218060000,0.025,0.025,0.025,0.025,498.002
1534218180000,0.033,0.033,0.033,0.033,2213.34444
1534227240000,0.025449,0.025448,0.025449,0.025448,4310.38950629
1534238580000,0.0348,0.035160000000000004,0.035160000000000004,0.0348,3383.04650768
1534240620000,0.0245,0.0245,0.0245,0.0245,1550.4982
1534241640000,0.026027,0.026027,0.026027,0.026027,1974.52672572
1534243020000,0.034443,0.0345,0.0345,0.034443,5362.93034864
1534244520000,0.026484,0.026101,0.026484,0.026101,5511.844665860001
1534244760000,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,851.816
1534244820000,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,2090.114
1534256520000,0.0271,0.026000000000000002,0.0271,0.026000000000000002,3302.93756808
1534264080000,0.031076,0.031076,0.031076,0.031076,627.50431394
1534266540000,0.026,0.026,0.026,0.026,1256.0
1534286460000,0.026205000000000003,0.026205000000000003,0.026205000000000003,0.026205000000000003,40000.0
1534287600000,0.026205000000000003,0.026205000000000003,0.026205000000000003,0.026205000000000003,10598.67089367
1534292700000,0.031039999999999998,0.031076,0.031076,0.031039999999999998,19131.02292838
1534300680000,0.0329,0.033,0.033,0.0329,3500.0
1534300800000,0.033,0.033101,0.033101,0.033,55467.12842091
1534300860000,0.033135000000000005,0.030087,0.033135000000000005,0.030087,16758.1833839
1534300920000,0.030327,0.030497000000000007,0.030497000000000007,0.030327,22222.0
1534300980000,0.030497000000000007,0.030497000000000007,0.030528,0.030497000000000007,21713.6147
1534301580000,0.034230000000000003,0.034230000000000003,0.034230000000000003,0.034230000000000003,311.81948143
1534303140000,0.030838,0.028584,0.030838,0.028584,25079.768925200002
1534313640000,0.028555,0.028554000000000006,0.028555,0.028554000000000006,18351.95
1534321200000,0.028555,0.028555,0.028555,0.028555,8000.0
1534321260000,0.028754,0.028754,0.028754,0.028754,5425.12482517
1534325820000,0.028999999999999998,0.028554000000000006,0.028999999999999998,0.028554000000000006,3989.66994968
1534330020000,0.033807,0.033807,0.033807,0.033807,256.0
1534375860000,0.03,0.028569999999999998,0.03,0.028569999999999998,29085.16340588
1534378080000,0.028554000000000006,0.028554000000000006,0.028554000000000006,0.028554000000000006,1574.983
1534378800000,0.032445,0.032445,0.032445,0.032445,500.0
1534396980000,0.028554000000000006,0.027579000000000003,0.028554000000000006,0.027579000000000003,7182.66081235
1534397040000,0.027076,0.027075,0.027076,0.027075,7201.2382001299975
